"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US13063040510","Census Tract 405.10, Clayton County, Georgia","4048","653"
"1400000US13063040307","Census Tract 403.07, Clayton County, Georgia","5082","544"
"1400000US13063040516","Census Tract 405.16, Clayton County, Georgia","6431","1006"
"1400000US13067030328","Census Tract 303.28, Cobb County, Georgia","6564","477"
"1400000US13285960201","Census Tract 9602.01, Troup County, Georgia","3127","299"
"1400000US13089022001","Census Tract 220.01, DeKalb County, Georgia","4354","323"
"1400000US13213010202","Census Tract 102.02, Murray County, Georgia","8653","653"
"1400000US13261950300","Census Tract 9503, Sumter County, Georgia","6724","630"
"1400000US13097080102","Census Tract 801.02, Douglas County, Georgia","8090","631"
"1400000US13059150700","Census Tract 1507, Clarke County, Georgia","5868","561"
"1400000US13215001600","Census Tract 16, Muscogee County, Georgia","2741","462"
"1400000US13231010200","Census Tract 102, Pike County, Georgia","3435","365"
"1400000US13135050607","Census Tract 506.07, Gwinnett County, Georgia","19036","1151"
"1400000US13117130604","Census Tract 1306.04, Forsyth County, Georgia","4925","323"
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","2889","256"
"1400000US13095010401","Census Tract 104.01, Dougherty County, Georgia","7088","519"
"1400000US13217100501","Census Tract 1005.01, Newton County, Georgia","15399","1132"
"1400000US13135050608","Census Tract 506.08, Gwinnett County, Georgia","20000","1492"
"1400000US13269950300","Census Tract 9503, Taylor County, Georgia","4289","362"
"1400000US13269950200","Census Tract 9502, Taylor County, Georgia","2529","289"
"1400000US13181970200","Census Tract 9702, Lincoln County, Georgia","4182","283"
"1400000US13235950100","Census Tract 9501, Pulaski County, Georgia","3402","802"
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","2933","296"
"1400000US13089023419","Census Tract 234.19, DeKalb County, Georgia","10412","754"
"1400000US13121006100","Census Tract 61, Fulton County, Georgia","3824","534"
"1400000US13255161000","Census Tract 1610, Spalding County, Georgia","5454","475"
"1400000US13245010400","Census Tract 104, Richmond County, Georgia","3574","394"
"1400000US13277960700","Census Tract 9607, Tift County, Georgia","4555","485"
"1400000US13059150400","Census Tract 1504, Clarke County, Georgia","4028","424"
