"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US24033800707","Census Tract 8007.07, Prince George's County, Maryland","2933","214"
"1400000US24510160700","Census Tract 1607, Baltimore city, Maryland","4324","554"
"1400000US24510200702","Census Tract 2007.02, Baltimore city, Maryland","1089","123"
"1400000US24045010101","Census Tract 101.01, Wicomico County, Maryland","6140","490"
"1400000US24047951500","Census Tract 9515, Worcester County, Maryland","4495","190"
"1400000US24005400600","Census Tract 4006, Baltimore County, Maryland","3049","415"
"1400000US24033806708","Census Tract 8067.08, Prince George's County, Maryland","4582","482"
"1400000US24031701212","Census Tract 7012.12, Montgomery County, Maryland","2582","122"
"1400000US24005403702","Census Tract 4037.02, Baltimore County, Maryland","4727","425"
"1400000US24510250207","Census Tract 2502.07, Baltimore city, Maryland","2308","283"
"1400000US24029950100","Census Tract 9501, Kent County, Maryland","3608","279"
"1400000US24043010300","Census Tract 103, Washington County, Maryland","7662","428"
"1400000US24033801407","Census Tract 8014.07, Prince George's County, Maryland","6407","703"
"1400000US24027606706","Census Tract 6067.06, Howard County, Maryland","4975","280"
"1400000US24031701218","Census Tract 7012.18, Montgomery County, Maryland","3052","289"
"1400000US24510100300","Census Tract 1003, Baltimore city, Maryland","3676","443"
"1400000US24001000300","Census Tract 3, Allegany County, Maryland","2736","221"
"1400000US24033801808","Census Tract 8018.08, Prince George's County, Maryland","4248","440"
"1400000US24005430400","Census Tract 4304, Baltimore County, Maryland","4288","345"
"1400000US24031704200","Census Tract 7042, Montgomery County, Maryland","2269","136"
"1400000US24031700704","Census Tract 7007.04, Montgomery County, Maryland","3391","459"
"1400000US24035810600","Census Tract 8106, Queen Anne's County, Maryland","5152","353"
"1400000US24005492300","Census Tract 4923, Baltimore County, Maryland","4230","353"
"1400000US24025306500","Census Tract 3065, Harford County, Maryland","2940","247"
"1400000US24033800213","Census Tract 8002.13, Prince George's County, Maryland","4766","470"
"1400000US24005450800","Census Tract 4508, Baltimore County, Maryland","4103","402"
"1400000US24510250205","Census Tract 2502.05, Baltimore city, Maryland","4006","450"
"1400000US24033804600","Census Tract 8046, Prince George's County, Maryland","3355","277"
"1400000US24510130300","Census Tract 1303, Baltimore city, Maryland","2447","339"
"1400000US24009860502","Census Tract 8605.02, Calvert County, Maryland","3185","260"
"1400000US24005411404","Census Tract 4114.04, Baltimore County, Maryland","3596","270"
"1400000US24009860402","Census Tract 8604.02, Calvert County, Maryland","3759","331"
"1400000US24510272006","Census Tract 2720.06, Baltimore city, Maryland","3534","356"
"1400000US24033803610","Census Tract 8036.10, Prince George's County, Maryland","3587","304"
"1400000US24510270502","Census Tract 2705.02, Baltimore city, Maryland","4261","326"
"1400000US24043010600","Census Tract 106, Washington County, Maryland","5187","338"
"1400000US24043000602","Census Tract 6.02, Washington County, Maryland","3226","276"
"1400000US24510260404","Census Tract 2604.04, Baltimore city, Maryland","2252","402"
"1400000US24003702208","Census Tract 7022.08, Anne Arundel County, Maryland","7047","465"
"1400000US24001001700","Census Tract 17, Allegany County, Maryland","5090","404"
"1400000US24510280101","Census Tract 2801.01, Baltimore city, Maryland","3869","465"
"1400000US24510070200","Census Tract 702, Baltimore city, Maryland","3028","576"
"1400000US24025301703","Census Tract 3017.03, Harford County, Maryland","4896","351"
"1400000US24033807407","Census Tract 8074.07, Prince George's County, Maryland","5875","562"
"1400000US24005403500","Census Tract 4035, Baltimore County, Maryland","5002","221"
