"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US45019001902","Census Tract 19.02, Charleston County, South Carolina","4749","469"
"1400000US45003020100","Census Tract 201, Aiken County, South Carolina","4936","614"
"1400000US45073030800","Census Tract 308, Oconee County, South Carolina","7261","522"
"1400000US45015020101","Census Tract 201.01, Berkeley County, South Carolina","2652","390"
"1400000US45083021301","Census Tract 213.01, Spartanburg County, South Carolina","2669","332"
"1400000US45041002600","Census Tract 26, Florence County, South Carolina","3462","395"
"1400000US45019001500","Census Tract 15, Charleston County, South Carolina","1552","179"
"1400000US45091061201","Census Tract 612.01, York County, South Carolina","8083","477"
"1400000US45055970200","Census Tract 9702, Kershaw County, South Carolina","2593","323"
"1400000US45051051404","Census Tract 514.04, Horry County, South Carolina","4918","378"
"1400000US45051060101","Census Tract 601.01, Horry County, South Carolina","4291","630"
"1400000US45003021800","Census Tract 218, Aiken County, South Carolina","2459","296"
"1400000US45027960802","Census Tract 9608.02, Clarendon County, South Carolina","3275","310"
"1400000US45007011402","Census Tract 114.02, Anderson County, South Carolina","3626","345"
"1400000US45061920600","Census Tract 9206, Lee County, South Carolina","1402","236"
"1400000US45063021033","Census Tract 210.33, Lexington County, South Carolina","4802","274"
"1400000US45089970200","Census Tract 9702, Williamsburg County, South Carolina","1148","148"
"1400000US45015020600","Census Tract 206, Berkeley County, South Carolina","9105","726"
"1400000US45063020804","Census Tract 208.04, Lexington County, South Carolina","3019","345"
"1400000US45023020200","Census Tract 202, Chester County, South Carolina","2880","552"
"1400000US45041001300","Census Tract 13, Florence County, South Carolina","3611","364"
"1400000US45019003200","Census Tract 32, Charleston County, South Carolina","1609","195"
"1400000US45045002815","Census Tract 28.15, Greenville County, South Carolina","6095","357"
"1400000US45045003705","Census Tract 37.05, Greenville County, South Carolina","1749","170"
"1400000US45007011002","Census Tract 110.02, Anderson County, South Carolina","4315","305"
"1400000US45083021200","Census Tract 212, Spartanburg County, South Carolina","3232","221"
"1400000US45079011413","Census Tract 114.13, Richland County, South Carolina","7858","649"
"1400000US45091061203","Census Tract 612.03, York County, South Carolina","6681","563"
"1400000US45051051403","Census Tract 514.03, Horry County, South Carolina","5355","534"
"1400000US45013000501","Census Tract 5.01, Beaufort County, South Carolina","6873","798"
"1400000US45091060904","Census Tract 609.04, York County, South Carolina","6864","439"
"1400000US45077010803","Census Tract 108.03, Pickens County, South Carolina","4339","431"
"1400000US45025950700","Census Tract 9507, Chesterfield County, South Carolina","4884","582"
"1400000US45079002100","Census Tract 21, Richland County, South Carolina","2926","354"
"1400000US45079010412","Census Tract 104.12, Richland County, South Carolina","3012","374"
"1400000US45079003100","Census Tract 31, Richland County, South Carolina","1178","189"
"1400000US45083023405","Census Tract 234.05, Spartanburg County, South Carolina","6261","420"
"1400000US45085002000","Census Tract 20, Sumter County, South Carolina","3458","364"
"1400000US45051060303","Census Tract 603.03, Horry County, South Carolina","2488","211"
"1400000US45051050600","Census Tract 506, Horry County, South Carolina","5074","486"
"1400000US45015020403","Census Tract 204.03, Berkeley County, South Carolina","7822","341"
"1400000US45051020300","Census Tract 203, Horry County, South Carolina","7827","880"
"1400000US45051051000","Census Tract 510, Horry County, South Carolina","5153","428"
"1400000US45015020716","Census Tract 207.16, Berkeley County, South Carolina","8989","597"
